English,French,German,Polish,Russian,Spanish,Korean,SimplifedChinese,Japanese
"Could not create save file:","Could not create save file:","Impossible de créer le fichier de sauvegarde :","No se pudo crear un archivo de guardado:","Konnte den Speicherstand nicht erstellen:","세이브 파일을 만들 수 없습니다:","Could not create save file:","无法创建存档文件：","Не удалось создать сохранение:","Could not create save file:","Could not create save file:","Could not create save file:","セーブファイルを作成できませんでした:","Could not create save file:","Nie udało się utworzyć pliku zapisu:","Could not create save file:","Could not create save file:","Could not create save file:","Could not create save file:","Could not create save file:"
"Could not start server:","Could not start server:","Impossible de démarrer le serveur :","No se pudo iniciar el servidor:","Konnte den Server nicht starten:","서버를 시작할 수 없습니다:","Could not start server:","无法启动服务器：","Не удалось запустить сервер:","Could not start server:","Could not start server:","Could not start server:","サーバーを起動できませんでした:","Could not start server:","Nie udało się uruchomić serwera:","Could not start server:","Could not start server:","Could not start server:","Could not start server:","Could not start server:"
"Connection Failed","Connection Failed","Connexion échouée","Fallo de Conexión","Verbindung fehlgeschlagen","연결 실패","Connection Failed","连接失败","Ошибка подключения","Connection Failed","Connection Failed","Connection Failed","接続失敗","Connection Failed","Połączenie nie powiodło się","Connection Failed","Connection Failed","Connection Failed","Connection Failed","Connection Failed"
"Hit {0} for {1} damage!","Hit {0} for {1} damage!","{0} touché : {1} dégât(s) !","¡Golpea {0} para {1} daño!","{0} für {1} Schaden getroffen!","{0}을(를) 때려서 {1} 데미지를 입혔습니다!","Hit {0} for {1} damage!","命中 {0} 造成 {1} 伤害！","Попадание по {0} нанесло {1} урона!","Hit {0} for {1} damage!","Hit {0} for {1} damage!","Hit {0} for {1} damage!","{0} に {1} のダメージ！","Hit {0} for {1} damage!","Uderz {0} i zadaj {1} obrażeń!","Hit {0} for {1} damage!","Hit {0} for {1} damage!","Hit {0} for {1} damage!","Hit {0} for {1} damage!","Hit {0} for {1} damage!"
"You killed the {0}. Find the carcass to harvest it.","You killed the {0}. Find the carcass to harvest it.","Vous avez tué un(e) {0}. Trouvez la carcasse à récolter.","Has matado al {0}. Encuentra el cadáver para cosecharlo.","Du hast {0} getötet. Finde den Kadaver, um ihn aufzusammeln.","{0}을(를) 죽이셨습니다. 시체를 찾아 수확하세요.","You killed the {0}. Find the carcass to harvest it.","你杀死了 {0}。快去收获吧。","Вы убили {0}. Заберите тушу.","You killed the {0}. Find the carcass to harvest it.","You killed the {0}. Find the carcass to harvest it.","You killed the {0}. Find the carcass to harvest it.","あなたは {0} を殺した。死体を見つけて採取してください。","You killed the {0}. Find the carcass to harvest it.","Zabiłeś {0}. Znajdź tuszę aby ją zebrać.","You killed the {0}. Find the carcass to harvest it.","You killed the {0}. Find the carcass to harvest it.","You killed the {0}. Find the carcass to harvest it.","You killed the {0}. Find the carcass to harvest it.","You killed the {0}. Find the carcass to harvest it."
"The carcass has already been harvested","The carcass has already been harvested","La carcasse a déjà été ramassée","El cadáver ya ha sido cosechado","Der Kadaver wurde bereits durchsucht","시체가 이미 수확 되었습니다.","The carcass has already been harvested","尸体已经被收获","Тушу уже забрали","The carcass has already been harvested","The carcass has already been harvested","The carcass has already been harvested","死体はすでに採取されました。","The carcass has already been harvested","Tusza została już zebrana.","The carcass has already been harvested","The carcass has already been harvested","The carcass has already been harvested","The carcass has already been harvested","The carcass has already been harvested"
"{0:work order} halted. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} interrompu. {1:completion status}","{0:work order} detenido. {1:completion status}","{0:work order} angehalten. {1:completion status}","{0:work order} 작업이 멈추었습니다. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} 已停止。 {1:completion status}","{0:work order} приостановлено. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} が停止しました。 {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} wstrzymany. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} halted. {1:completion status}","{0:work order} halted. {1:completion status}"
"You cannot queue more than {0} projects at a single table.","You cannot queue more than {0} projects at a single table.","Vous ne pouvez pas mettre en file d’attente plus de {0} projets à un seul établi.","No puede hacer más de {0} proyectos en una sola mesa.","Du kannst nicht mehr als {0} Aufträge pro Tisch auf die Warteliste setzen.","한 작업대 당 {0} 이상의 프로젝트를 예약할 수 없습니다.","You cannot queue more than {0} projects at a single table.","你不能在单张工作台中安排超过 {0} 个项目。","Нельзя начать более чем {0} проектов на одном столе.","You cannot queue more than {0} projects at a single table.","You cannot queue more than {0} projects at a single table.","You cannot queue more than {0} projects at a single table.","ひとつの作業台で {0} 以上のプロジェクトはキューに追加できません。","You cannot queue more than {0} projects at a single table.","Nie możesz zakolejkować więcej niż {0} projektów w pojedyńczym stole.","You cannot queue more than {0} projects at a single table.","You cannot queue more than {0} projects at a single table.","You cannot queue more than {0} projects at a single table.","You cannot queue more than {0} projects at a single table.","You cannot queue more than {0} projects at a single table."
"Your crafting quantity has been reduced to {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","Votre quantité d’artisanat a été réduite à {0} : {1}","Su cantidad de la elaboración se ha reducido a {0}: {1}","Die herzustellende Menge wurde reduziert auf {0}: {1}","당신의 작업량이 {0}(으)로 줄었습니다: {1}","Your crafting quantity has been reduced to {0}: {1}","你的制作数量降低至 {0}: {1}","Количество продукции было сокращено до {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","あなたの製作数は {0} に減少しました: {1}","Your crafting quantity has been reduced to {0}: {1}","Ilość wytwarzania został zmniejszona do {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","Your crafting quantity has been reduced to {0}: {1}","Your crafting quantity has been reduced to {0}: {1}"
"{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} a commencé un(e) {1:workorder description} à {2:table location}.","{0:player name} iniciado un {1:workorder description} en {2:table location}.","{0:player name} begann {1:workorder description} bei {2:table location} herzustellen.","{0:player name}님이 {2:table location}에서 {1:workorder description} 작업을 시작하였습니다.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} 在 {2:table location} 开始了 {1:workorder description}。","{0:player name} начинает {1:workorder description} на {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} は、 {2:table location} で {1:workorder description} を開始しました。","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} zaczął robić {1:workorder description} przy {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}.","{0:player name} started a {1:workorder description} at {2:table location}."
